img,name,link,engDescription,jpDescription,tags,filterTag,platform,price,category_id
10web.svg,10web,https://10web.io/,WordPress website builder and hosting platform with automated site management.,WordPressは、サイト管理を自動化したウェブサイトビルダーとホスティングプラットフォームです。,"WordPres, Website","NoCode,UI Design,Website",Browser,Freemium,64761102ba22fed734b9de7a
abletonlive.svg,Ableton Live,https://www.ableton.com/live/,"Music production software.A unique session view and arrangement view, which allow for flexible and creative music creation and performance. It's widely used by producers, musicians, and DJs for its intuitive interface and powerful features.","音楽制作ソフトウェア。フレキシブルで創造的な音楽制作とパフォーマンスを可能にするセッションビューとアレンジメントビューが特徴です。音楽プロデューサー、ミュージシャン、DJに広く使用されているのは、直感的なインターフェースと強力な機能のおかげです。","Music, Arrangement",Audio,"Windows, Apple",Paid,64761102ba22fed734b9de7a
acoustica.svg,Acoustica,https://www.acoustica.com/,Digital audio workstation (DAW) software for Windows that has earned itself a reputation for being the go-to software for both professional musicians and enthusiasts,Windows用のデジタルオーディオワークステーション(DAW)ソフトウェアは、プロのミュージシャンや愛好家にとって欠かせないソフトウェアとして知られています。,"Digital, Audio, Workstation",Audio,Windows,Freemium,64761102ba22fed734b9de7a
adalo.svg,Adalo,http://adalo.com/,A no-code platform for building cross-platform apps.,クロスプラットフォームアプリをビルドするためのノーコードプラットフォーム,"SVG, Animation, Illustration, Logo","NoCode,UI Design,App",Browser,Freemium,64761102ba22fed734b9de7a
adobeaudition.svg,Adobe Audition,https://www.adobe.com/products/audition.html,Professional audio editing software,プロ用オーディオ編集ソフトはとても高価です。,"Audio, Editor, Mixer",Audio,"Windows, Apple",Paid,64761102ba22fed734b9de7a
adobeportfolio.svg,Adobe Portfolio,https://portfolio.adobe.com/,"Website builder integrated with Adobe Creative Cloud, perfect for creatives.",Adobe Creative Cloudと統合されたWebサイトビルダーは、クリエイティブな方にぴったりです。,"Website, Biulder","NoCode,UI Design,Website",Browser,Freemium,64761102ba22fed734b9de7a
adobespark.svg,Adobe Spark,https://spark.adobe.com/,Online design tool with image editing and template customization features,オンラインのデザインツールを使用して、画像編集とテンプレートカスタマイズ機能を備えて,"Image, Editor, Template",Image,Browser,Free,64761102ba22fed734b9de7a
affinitydesigner.svg,Affinity Designer,https://affinity.serif.com/en-gb/designer,Vector graphic design software with advanced tools,ベクターグラフィックデザインソフトウェアは、高度なツールを備えています。,Graphic Vector,Illustration,"Apple, Windows",Paid,64761102ba22fed734b9de7a
affinityphoto.svg,Affinity Photo,https://affinity.serif.com/en-gb/photo,Professional photo editing software with non-destructive editing capabilities,専門的な写真編集ソフトウェアは、破壊的編集能力を持つ,Image Editor,Image,"Apple, Windows",Paid,64761102ba22fed734b9de7a
affinitypublisher.svg,Affinity Publisher,https://affinity.serif.com/en-gb/publisher,Desktop publishing software with image editing and layout design features,デスクトップパブリッシングソフトウェアは、画像編集とレイアウト設計機能を備えています。,"Desktop Publishing, Image Editor",Image,"Apple, Windows",Paid,64761102ba22fed734b9de7a
aftereffects.svg,After Effects,https://www.adobe.com/products/aftereffects.html,Industry-standard motion graphics and visual effects software with a wide range of creative tools.,幅広いクリエイティブツールを備えた業界標準のモーショングラフィックスとビジュアルエフェクトソフトウェア。,"Motion Graphic, Visual Effect","Video, Animation","Apple, Windows",Paid,64761102ba22fed734b9de7a
airtable.svg,Airtable,https://airtable.com/,A platform for creating and managing databases.,データベースの作成と管理のためのプラットフォーム,"Creating, Manager, Databases","NoCode,Productivity",Browser,Freemium,64761102ba22fed734b9de7a
