img,name,link,engDescription,jpDescription,tags,filterTag,platform,price,category_id
10web.svg,10web,https://10web.io/,WordPress website builder and hosting platform with automated site management.,WordPressは、サイト管理を自動化したウェブサイトビルダーとホスティングプラットフォームです。,"WordPres, Website","NoCode,UI Design,Website",Browser,Freemium,64761102ba22fed734b9de7a
abletonlive.svg,Ableton Live,https://www.ableton.com/live/,"Music production software with unique session and arrangement views for creative music creation.","音楽制作ソフトウェア。フレキシブルで創造的な音楽制作とパフォーマンスを可能にするセッションビューとアレンジメントビューが特徴です。音楽プロデューサー、ミュージシャン、DJに広く使用されているのは、直感的なインターフェースと強力な機能のおかげです。","Music,  Arrangement",Audio,"Windows, Apple",Paid,64761102ba22fed734b9de7a
acoustica.svg,Acoustica,https://www.acoustica.com/,Digital audio workstation software for Windows trusted by professional musicians and enthusiasts,Windows用のデジタルオーディオワークステーション(DAW)ソフトウェアは、プロのミュージシャンや愛好家にとって欠かせないソフトウェアとして知られています。,"Digital, Audio, Workstation",Audio,Windows,Freemium,64761102ba22fed734b9de7a
adalo.svg,Adalo,http://adalo.com/,A no-code platform for building cross-platform apps.,クロスプラットフォームアプリをビルドするためのノーコードプラットフォーム,"SVG, Animation, Illustration, Logo","NoCode,UI Design,App",Browser,Freemium,64761102ba22fed734b9de7a
adobeaudition.svg,Adobe Audition,https://www.adobe.com/products/audition.html,Professional audio editing software,プロ用オーディオ編集ソフトはとても高価です。,"Audio, Editor, Mixer",Audio,"Windows, Apple",Paid,64761102ba22fed734b9de7a
adobeportfolio.svg,Adobe Portfolio,https://portfolio.adobe.com/,"Website builder integrated with Adobe Creative Cloud, perfect for creatives.",Adobe Creative Cloudと統合されたWebサイトビルダーは、クリエイティブな方にぴったりです。,"Website, Biulder","NoCode,UI Design,Website",Browser,Freemium,64761102ba22fed734b9de7a
adobespark.svg,Adobe Spark,https://spark.adobe.com/,Online design tool with image editing and template customization features,オンラインのデザインツールを使用して、画像編集とテンプレートカスタマイズ機能を備えて,"Image, Editor, Template",Image,Browser,Free,64761102ba22fed734b9de7a
affinitydesigner.svg,Affinity Designer,https://affinity.serif.com/en-gb/designer,Vector graphic design software with advanced tools,ベクターグラフィックデザインソフトウェアは、高度なツールを備えています。,Graphic Vector,Illustration,"Apple, Windows",Paid,64761102ba22fed734b9de7a
affinityphoto.svg,Affinity Photo,https://affinity.serif.com/en-gb/photo,Professional photo editing software with non-destructive editing capabilities,専門的な写真編集ソフトウェアは、破壊的編集能力を持つ,Image Editor,Image,"Apple, Windows",Paid,64761102ba22fed734b9de7a
affinitypublisher.svg,Affinity Publisher,https://affinity.serif.com/en-gb/publisher,Desktop publishing software with image editing and layout design features,デスクトップパブリッシングソフトウェアは、画像編集とレイアウト設計機能を備えています。,"Desktop Publishing, Image Editor",Image,"Apple, Windows",Paid,64761102ba22fed734b9de7a
aftereffects.svg,After Effects,https://www.adobe.com/products/aftereffects.html,Industry-standard motion graphics and visual effects software with creative tools.,幅広いクリエイティブツールを備えた業界標準のモーショングラフィックスとビジュアルエフェクトソフトウェア。,"Motion Graphic, Visual Effect","Video, Animation","Apple, Windows",Paid,64761102ba22fed734b9de7a
airtable.svg,Airtable,https://airtable.com/,A platform for creating and managing databases.,データベースの作成と管理のためのプラットフォーム,"Creating, Manager, Databases","NoCode,Productivity",Browser,Freemium,64761102ba22fed734b9de7a
anima.svg,Anima,http://animaapp.com/,A design-to-code platform for web and mobile app development.,Webおよびモバイルアプリ開発のためのデザインからコードへのプラットフォーム,"Creating, Manager, Databases","NoCode,UI Design,App","Apple, Browser",Freemium,64761102ba22fed734b9de7a
appmaster.svg,Appmaster,http://appmaster.io/,A platform for creating mobile apps without coding.,モバイルアプリをコーディングなしで作成するプラットフォーム,"Mobile, App, Code","NoCode,UI Design,App",Browser,Freemium,64761102ba22fed734b9de7a
apprat.svg,Apprat,http://apprat.io/,A platform for building iOS and Android apps without coding.,コーディングなしでiOSおよびAndroidアプリを構築するプラットフォーム。,"Builder, iOS, Android, App","NoCode,UI Design,App","Apple, Browser",Paid,64761102ba22fed734b9de7a
appypie.svg,Appy Pie,https://www.appypie.com/,A no-code platform for building mobile applications.,モバイルアプリケーションを構築するためのコードなしプラットフォーム。,"NoCode,Builder, App","NoCode,App",Browser,Freemium,64761102ba22fed734b9de7a
ardour.svg,Ardour,https://ardour.org/,Free and open-source audio workstation,無料でオープンソースのオーディオワークステーション,"Audio, Editor, Recordor, Mixer",Audio,"Windows, Apple, Linux",Free,64761102ba22fed734b9de7a
aseprite.svg,Aseprite,https://www.aseprite.org/,Pixel art and animation editor for creating retro-style graphics,ピクセルアートとアニメーションエディターを使用してレトロスタイルのグラフィックを作成する,"Pixel Art, Animation, Editor, Graphics","Image, Animation","Apple, Windows, Linux",Paid,64761102ba22fed734b9de7a
audacity.svg,Audacity,https://www.audacityteam.org/,"Free, open-source audio editor",無料、オープンソースのオーディオエディター,"Audio, Editor",Audio,"Windows, Apple, Linux",Free,64761102ba22fed734b9de7a
avidmediacomposer.svg,Avid Media Composer,https://www.avid.com/media-composer,"Professional video editing software used in film and television industry with advanced capabilities.",映画やテレビ業界で広く使われているプロ用ビデオ編集ソフトで、高度な編集機能を提供しています。,"Video Editor, Film, TV",Video,"Apple, Windows",Freemium,64761102ba22fed734b9de7a
birdfont.svg,BirdFont,https://birdfont.org/,A free font editor,無料のフォントエディター,"Font, Editor, Typeface",Font,"Apple, Windows, Linux",Free,64761102ba22fed734b9de7a
bitwigstudio.svg,Bitwig Studio,https://www.bitwig.com/,Music production software,音楽プロダクションソフトウェアは非常に人気があります。," Music,  Editor",Audio,"Windows, Apple, Linux",Paid,64761102ba22fed734b9de7a
biyo.svg,Biyo,http://biyo.com/,A tool for creating and managing biometric data.,生物特徴データを作成し管理するツール,"Biometric, Data, Manager, Creation","NoCode,Productivity ","Apple, Browser",Free,64761102ba22fed734b9de7a
blender.svg,Blender,https://www.blender.org/,"Free and open-source 3D creation suite with video editing and comprehensive tools.",フリーでオープンソースの3D作成スイートで、ビデオ編集機能を備えたツールを提供しています。,"3D, Creation, Suite","Video, Animation","Apple, Windows, Linux",Free,64761102ba22fed734b9de7a
blocs.svg,Blocs,https://blocsapp.com/,Website builder for Apple with simple and intuitive interface for site creation.,アップルのウェブサイトビルダーは、サイト作成のための簡単で直感的なインターフェースを提供しています。,"Website, Simple, Intuitive","NoCode,UI Design,Website",Apple,Paid,64761102ba22fed734b9de7a
bravostudio.svg,Bravo Studio,https://www.bravostudio.app/,A no-code platform for building mobile applications.,モバイルアプリケーションを構築するためのノーコードプラットフォーム,"NoCode, Mobile, App","NoCode,App","Apple, Browser",Freemium,64761102ba22fed734b9de7a
bubble.svg,Bubble,https://bubble.io/,A no-code platform for building web and mobile applications.,ウェブやモバイルアプリを構築するためのコードなしプラットフォーム,"NoCode, Web, Mobile, App","NoCode,App,Website",Browser,Freemium,64761102ba22fed734b9de7a
