img,name,link,engDescription,jpDescription,tags,filterTag,category_id
0to255.svg,0to255,https://www.0to255.com/,A color tool that makes it easy to find lighter and darker colors based on any color. ,色を選ぶツールは、色を選ぶことで、明るい色や暗い色を簡単に見つけることができます。,Color,Color,64761222ba22fed734b9de7d
1001fonts.svg,1001Fonts,https://www.1001fonts.com/,Free fonts for personal and commercial use,無料のフォントを個人用と商用用に使用できます。,Fonts,Font,64761222ba22fed734b9de7d
123rf.svg,123RF,https://www.123rf.com/,"A stock media library with millions of royalty-free photos, vectors, and videos.",世界中のロイヤリティフリーの写真、ベクター、動画を集めたストックメディアライブラリー,"Stock, Media, Library, Images","Image,Video,Illustration",64761222ba22fed734b9de7d
1mfreepictures.svg,1M Free Pictures,https://www.1millionfreepictures.com/,A vast collection of free stock photos and wallpapers.,広大な無料のストックフォトと壁紙コレクション。,"Image, Wallpaper",Image,64761222ba22fed734b9de7d
500px.svg,500px,https://500px.com/,Online photography community with a marketplace for licensing photos.,オンライン写真コミュニティで、写真のライセンスのための市場があります。,"Imagegraphy, Community, Marketplace",Image,64761222ba22fed734b9de7d
99sounds.svg,99Sounds,https://99sounds.org,"Curated collection of free sound effects and sample libraries, contributed by various artists.",コンテンツは、様々なアーティストによって寄贈された無料のサウンドエフェクトとサンプルライブラリのキュレーションされたコレクションです。,"Sound Effect, Library",Audio,64761222ba22fed734b9de7d
asoundeffect.svg,A Sound Effect,https://www.asoundeffect.com,"Online marketplace for independent sound effects creators, offering a wide variety of libraries and samples.",オンラインのサウンドエフェクトクリエーターのための市場で、幅広いライブラリとサンプルを提供しています。,"Marketplace, Sound effect, Library",Audio,64761222ba22fed734b9de7d
accessiblebrandcolors.svg,Accessible Brand Colors,https://abc.useallfive.com/,Collection of brand colors optimized for accessibility,ブランドカラーの最適化されたコレクション,"Color, Branding, Accessibility","Color,Branding",64761222ba22fed734b9de7d
adobecolor.svg,Adobe Color,https://color.adobe.com,Create and explore color combinations.,色の組み合わせを作成し、探索してください。,"Create, Explore, Color, Combination",Color,64761222ba22fed734b9de7d
adobefonts.svg,Adobe Fonts,https://fonts.adobe.com/,Collection of high-quality fonts for creative projects,素敵なフォントを集めてクリエイティブなプロジェクトに使えます。,"Font,Collection",Font,64761222ba22fed734b9de7d
